,station,prediction_time,prediction_window,number_of_bikes_left,number_of_bikes_returned,net_difference
395,6,2022-08-28 04:00:00,15,0,0,0
396,6,2022-08-28 04:15:00,15,0,0,0
397,6,2022-08-28 04:30:00,15,1,0,-1
398,6,2022-08-28 04:45:00,15,0,1,1
399,6,2022-08-28 05:00:00,15,1,0,-1
400,6,2022-08-28 05:15:00,15,0,1,1
401,6,2022-08-28 05:30:00,15,3,0,-3
402,6,2022-08-28 05:45:00,15,0,0,0
403,6,2022-08-28 06:00:00,15,1,0,-1
404,6,2022-08-28 06:15:00,15,0,0,0
405,6,2022-08-28 06:30:00,15,0,0,0
406,6,2022-08-28 06:45:00,15,0,0,0
407,6,2022-08-28 07:00:00,15,0,0,0
408,6,2022-08-28 07:15:00,15,0,0,0
409,6,2022-08-28 07:30:00,15,0,0,0
410,6,2022-08-28 07:45:00,15,0,0,0
411,6,2022-08-28 08:00:00,15,0,0,0
412,6,2022-08-28 08:15:00,15,0,0,0
413,6,2022-08-28 08:30:00,15,0,0,0
414,6,2022-08-28 08:45:00,15,0,0,0
415,6,2022-08-28 09:00:00,15,0,0,0
416,6,2022-08-28 09:15:00,15,0,0,0
417,6,2022-08-28 09:30:00,15,0,0,0
418,6,2022-08-28 09:45:00,15,0,0,0
419,6,2022-08-28 10:00:00,15,0,0,0
420,6,2022-08-28 10:15:00,15,0,0,0
421,6,2022-08-28 10:30:00,15,0,0,0
422,6,2022-08-28 10:45:00,15,0,0,0
423,6,2022-08-28 11:00:00,15,0,0,0
424,6,2022-08-28 11:15:00,15,0,1,1
425,6,2022-08-28 11:30:00,15,0,0,0
426,6,2022-08-28 11:45:00,15,0,0,0
427,6,2022-08-28 12:00:00,15,0,0,0
428,6,2022-08-28 12:15:00,15,0,0,0
429,6,2022-08-28 12:30:00,15,1,1,0
430,6,2022-08-28 12:45:00,15,0,0,0
431,6,2022-08-28 13:00:00,15,1,1,0
432,6,2022-08-28 13:15:00,15,2,2,0
433,6,2022-08-28 13:30:00,15,1,0,-1
434,6,2022-08-28 13:45:00,15,0,2,2
435,6,2022-08-28 14:00:00,15,1,0,-1
436,6,2022-08-28 14:15:00,15,1,0,-1
437,6,2022-08-28 14:30:00,15,0,1,1
438,6,2022-08-28 14:45:00,15,0,3,3
439,6,2022-08-28 15:00:00,15,3,0,-3
440,6,2022-08-28 15:15:00,15,1,1,0
441,6,2022-08-28 15:30:00,15,0,2,2
442,6,2022-08-28 15:45:00,15,1,0,-1
443,6,2022-08-28 16:00:00,15,2,0,-2
444,6,2022-08-28 16:15:00,15,1,1,0
445,6,2022-08-28 16:30:00,15,1,3,2
